Date,Close,High,Low,Open,Volume,MA7,MA30,Daily Change,Daily Return
3/8/2023,150.5482788,151.1391723,149.5240804,150.4891925,47204800,147.4348624,147.2385839,0.059086344,0.837744794
3/9/2023,148.302887,152.1928927,147.9483539,151.2277808,53833600,147.8822457,147.5322632,-2.924893858,-1.491476265
3/10/2023,146.2446442,148.6475889,145.3681617,147.92868,68572400,148.3310394,147.688503,-1.684035848,-1.387864282
3/13/2023,148.1847229,150.8141702,145.4567883,145.5651183,84457100,148.9725734,147.8448405,2.619604588,1.326598144
3/14/2023,150.2725372,151.070233,147.8203637,148.9824352,73695900,149.1920449,148.1668091,1.290101983,1.408926838
3/15/2023,150.6664429,150.9224887,147.6430618,148.8937777,77167900,149.0738656,148.4596252,1.772665189,0.262127496
3/16/2023,153.4830017,154.0837378,149.3369353,149.8490419,76161100,149.6717878,148.8089625,3.633959762,1.869400236
3/17/2023,152.6459198,154.3594988,151.9368537,153.709519,98944600,149.9714508,148.9537272,-1.06359918,-0.545390629
3/20/2023,155.0094604,155.4230949,151.8088203,152.7148609,73641400,150.9295327,149.0566564,2.29459959,1.548381151
3/21/2023,156.8609161,156.9790888,154.1625248,154.9306923,73938300,152.446143,149.3120941,1.930223868,1.19441464
3/22/2023,155.4329376,159.6774765,155.4132372,156.880613,75701800,153.4816023,149.4242238,-1.447675381,-0.910346918
3/23/2023,156.5161896,159.0964077,155.2851744,156.4177174,67622100,154.3735526,149.6619431,0.0984722,0.696925613
3/24/2023,157.8161926,157.9048221,155.4526488,156.4473039,59196500,155.3949454,149.9774104,1.368888683,0.830586954
3/27/2023,155.8761139,158.3283023,155.4723372,157.5109062,52390300,155.7368186,150.2160639,-1.634792279,-1.229328058
3/28/2023,155.2556763,156.0829301,153.6110413,155.5708235,45992200,156.1096409,150.3408056,-0.315147196,-0.398032519
3/29/2023,158.3283234,158.6040697,156.9298913,156.9495767,51305700,156.5837642,150.5893077,1.378746634,1.97908841
3/30/2023,159.8941803,160.0025103,158.8207381,159.076784,49501700,157.0170877,150.8200836,0.817396292,0.988993567
3/31/2023,162.3955536,162.4940408,159.4509742,159.9729236,68749800,158.0117471,151.1874176,2.422630012,1.564392954
4/3/2023,163.6462708,163.7644434,161.7258896,161.7751332,56976200,159.0303301,151.634522,1.871137504,0.770167123
4/4/2023,163.1145172,164.3061321,162.6024104,164.0697866,46278300,159.7872336,152.1975082,-0.955269433,-0.324940824
4/5/2023,161.2728577,162.543274,159.342634,162.2379845,51511700,160.558197,152.6849889,-0.965126878,-1.129059251
4/6/2023,162.1592407,162.4546875,159.5396357,159.9630979,45390100,161.5444205,153.1859309,2.196142842,0.549617009
4/10/2023,159.5691528,159.5691528,157.6487716,158.9684167,47716900,161.7216819,153.6888407,0.600736168,-1.597249641
4/11/2023,158.3578186,159.8941234,158.0722146,159.8842807,47644200,161.5022016,154.1116531,-1.526462049,-0.759128069
4/12/2023,157.6685028,159.5987271,157.3533556,158.7714881,50133100,160.8269087,154.5282298,-1.1029853,-0.43529003
4/13/2023,163.045578,163.2819384,158.9684543,159.1752715,68445600,160.7410954,155.1929794,3.870306456,3.410367384
4/14/2023,162.700882,163.7940244,161.3319932,162.090288,49386500,160.6820047,155.8265427,0.610593977,-0.211410852
4/17/2023,162.7205353,162.8781089,161.5387635,162.5826622,41516200,160.8888157,156.292686,0.137873124,0.012079418
4/18/2023,163.9417267,164.8674528,163.1341733,163.5773509,49923000,161.1434566,156.7076202,0.364375791,0.750483892
4/19/2023,165.0841064,165.6060558,163.0258371,163.281898,47720200,161.9313071,157.2338389,1.802208485,0.696820623
4/20/2023,164.1189728,165.3204451,163.0455309,163.5674803,52456400,162.7543291,157.6861954,0.551492514,-0.584631487
4/21/2023,162.5137634,163.9220381,161.991814,162.5433066,58337300,163.4465092,158.1598913,-0.029543173,-0.97807665
4/24/2023,162.819046,163.0849496,161.4009137,162.4940561,41949600,163.4141475,158.7123713,0.324989915,0.1878503
4/25/2023,161.2827454,163.7841625,161.2433444,162.6811773,48714100,163.2115566,159.1489721,-1.39843193,-0.943563236
4/26/2023,161.2728577,162.7697766,160.3274463,160.5834921,45498800,163.0047455,159.5156494,0.689365608,-0.006130659
4/27/2023,165.8522644,165.9999803,162.6811672,162.6811672,64902300,163.2776794,160.0218435,3.171097216,2.83953965
4/28/2023,167.1029358,167.2703671,165.3302858,165.9310218,55275900,163.5660836,160.4758413,1.171913958,0.754087616
5/1/2023,167.0143127,167.8612519,166.0787441,166.7090233,52472900,163.9797036,160.9547877,0.305289406,-0.053035003
5/2/2023,165.9803009,167.7628242,164.9954884,167.5067634,48425700,164.4749233,161.3204824,-1.526462461,-0.619115706
5/3/2023,164.9068756,168.3241767,164.6212866,166.9257446,65136000,164.7731846,161.588681,-2.018868942,-0.646718488
5/4/2023,163.2720642,164.5030799,161.8145459,162.3857389,81235400,165.057373,161.8499852,0.886325274,-0.991354299
5/5/2023,170.9339142,171.6528231,168.1665784,168.3832384,113453200,166.437524,162.3305761,2.550675816,4.692688864
5/8/2023,170.8649597,171.2096501,169.496071,169.8604468,55962800,167.1536233,162.765535,1.004512904,-0.04033984
5/9/2023,169.1612244,170.9043314,168.9938081,170.421783,45326900,167.4476645,163.208372,-1.260558627,-0.997123901
5/10/2023,170.9240265,171.3868895,169.2892344,170.3922344,53724500,168.0061951,163.7306503,0.531792049,1.042084042
5/11/2023,171.1111755,171.9384144,169.55517,171.2096628,49514700,168.7391772,164.1567454,-0.098487263,0.109492534
5/12/2023,170.1841431,171.6535335,168.6358419,171.2196143,45533100,169.4930725,164.4997442,-1.035471201,-0.541772019
5/15/2023,169.6910858,170.8153244,169.099375,170.7660126,37266700,170.4100756,164.7429286,-1.074926799,-0.289719854
5/16/2023,169.6910858,170.7462849,169.4248144,169.61219,42110300,170.2325287,164.9444224,0.078895781,0
5/17/2023,170.3024902,170.5391625,168.0638697,169.3360434,57951600,170.1521759,165.1840215,0.966446873,0.360304383
5/18/2023,172.6298828,172.8172584,170.1940301,170.6082217,65496700,170.6476985,165.562589,2.021661128,1.366622752
5/19/2023,172.7383728,173.9513635,172.5214132,173.9513635,55809500,170.9068909,165.9152267,-1.212990729,0.062845429
5/22/2023,171.791626,172.2945847,171.051995,171.5746663,43570900,171.0040981,166.3226425,0.216959633,-0.548081362
5/23/2023,169.1881104,170.9829553,168.9119827,170.7364117,50747300,170.8618077,166.6836522,-1.54830133,-1.515507878
5/24/2023,169.4642334,170.0362165,168.1624908,168.7246025,45143500,170.8294002,167.0768433,0.739630923,0.163204758
5/25/2023,170.5983887,171.4957963,169.3163584,170.0264055,56058300,170.9590149,167.3286036,0.571983205,0.669259377
5/26/2023,173.0046234,173.3399343,170.7167059,170.9238092,54835000,171.3450339,167.6720617,2.080814207,1.410467449
5/30/2023,174.8487549,176.5153923,174.1288517,174.5134591,55964400,171.6620156,168.0763357,0.335295743,1.065943461
5/31/2023,174.7994385,176.870411,174.3162075,174.8783342,99625300,171.9564536,168.4382594,-0.07889577,-0.02820518
6/1/2023,177.6001892,177.6297732,174.4838737,175.2432324,68901800,172.7862483,168.8554621,2.356956813,1.602265291
6/2/2023,178.4483032,179.26683,176.7816656,178.527199,61996900,174.109133,169.3331065,-0.078895779,0.477541166
6/5/2023,177.0972595,182.393013,175.578542,180.1050955,121946500,175.1995653,169.819223,-3.007835931,-0.757106499
6/6/2023,176.7323456,177.629753,174.9769411,177.4818328,64848400,176.0758449,170.2829997,-0.749487232,-0.206052844
6/7/2023,175.3615723,178.7047035,174.868485,175.9729957,61944600,176.4125519,170.7522939,-0.611423429,-0.775621073
6/8/2023,178.0735779,178.3398342,175.0065739,175.4404781,50214900,176.8732409,171.3123179,2.633099766,1.546522183
6/9/2023,178.4581604,179.7105913,178.132721,178.9906881,48900000,177.3959154,171.7325144,-0.532527657,0.215968323
6/12/2023,181.2490082,181.3476316,178.4680039,178.7638592,54274900,177.9171753,172.2040502,2.485148953,1.563866719
6/13/2023,180.7756805,181.6040637,179.9177134,180.2727369,54929100,178.2496578,172.6627625,0.502943676,-0.261147711
